Plot_ID,Row,ID,Raceme_ID,No_Floral_Units,Plant_Species,Subplot_Type,Volume_Absolute,Concentration_Absolute,Concentration_AverageBlanks,Sugar_Absolute
11,2,184,93,7,Prunella,Drought,0.859375,0.26366676,0.26366676,0.226588622
11,2,189,95,5,Prunella,Roofed,0.53125,0.422920573,0.422920573,0.224676554
11,2,510,272,5,Lathyrus,Control,0.3125,0.707565992,0.707565992,0.221114373
11,2,190,95,5,Prunella,Roofed,0.5,0.4363998,0.4363998,0.2181999
13,2,560,297,3,Onobrychis,Drought,0.328125,0.645270444,0.645270444,0.211729364
9,2,179,91,12,Prunella,Drought,0.390625,0.54122166,0.54122166,0.211414711
12,2,194,96,5,Prunella,Roofed,0.65625,0.319085345,0.319085345,0.209399757
9,2,176,90,1,Prunella,Roofed,0.53125,0.376630584,0.376630584,0.200084998
11,2,187,94,5,Prunella,Control,0.71875,0.2758032,0.2758032,0.19823355
9,2,678,359,2,Lathyrus,Control,0.9375,0.210277509,0.210277509,0.197135165
13,2,556,296,3,Onobrychis,Roofed,0.3828125,NA,0.4623,0.176974219
12,2,886,452,7,Prunella,Control,0.34375,0.422920573,0.422920573,0.145378947
12,2,21,9,3,Onobrychis,Roofed,0.375,0.383160002,0.383160002,0.143685001
12,2,884,452,7,Prunella,Control,0.28125,0.484486832,0.484486832,0.136261922
13,2,559,297,3,Onobrychis,Drought,0.328125,0.40291433,0.40291433,0.132206265
13,2,561,297,3,Onobrychis,Drought,0.359375,0.344392672,0.344392672,0.123766116
12,2,894,456,3,Lathyrus,Drought,0.5,0.227854452,0.227854452,0.113927226
12,2,881,451,15,Prunella,Roofed,0.3125,0.344392672,0.344392672,0.10762271
12,2,634,336,6,Onobrychis,Control,0.1640625,0.645270444,0.645270444,0.105864682
11,2,684,362,3,Onobrychis,Control,0.21875,0.477529547,0.477529547,0.104459588
10,2,680,361,4,Lathyrus,Drought,0.15625,0.645270444,0.645270444,0.100823507
14,2,26,11,4,Onobrychis,Control,0.453125,0.210277509,0.210277509,0.095281996
12,2,885,452,7,Prunella,Control,0.15625,0.59991876,0.59991876,0.093737306
12,2,882,451,15,Prunella,Roofed,0.15625,0.592471975,0.592471975,0.092573746
12,2,20,9,3,Onobrychis,Roofed,0.234375,0.383160002,0.383160002,0.089803125
13,2,557,296,3,Onobrychis,Roofed,0.1875,0.4363998,0.4363998,0.081824963
12,2,22,9,3,Onobrychis,Roofed,0.203125,0.357206535,0.357206535,0.072557577
12,2,637,337,3,Onobrychis,Roofed,0.15625,0.44999366,0.44999366,0.070311509
12,2,193,96,5,Prunella,Roofed,0.15625,NA,0.4099,0.064046875
9,2,5,2,4,Prunella,Control,0.25,0.251630534,0.251630534,0.062907634
14,2,27,12,2,Onobrychis,Drought,0.1328125,NA,0.4623,0.061399219
9,2,7,3,3,Prunella,Drought,0.5625,0.098409854,0.098409854,0.055355543
14,2,25,11,4,Onobrychis,Control,0.3984375,0.136545084,0.136545084,0.054404682
14,2,24,11,4,Onobrychis,Control,0.28125,0.192915234,0.192915234,0.05425741
10,2,503,268,3,Lathyrus,Control,0.15625,0.32537246,0.32537246,0.050839447
11,2,633,335,1,Onobrychis,Drought,0.109375,NA,0.4623,0.050564063
12,2,529,284,4,Prunella,Control,0.109375,NA,0.4099,0.044832813
12,2,530,284,4,Prunella,Control,0.109375,NA,0.4099,0.044832813
14,2,670,355,2,Onobrychis,Drought,0.09375,NA,0.4623,0.043340625
12,2,192,96,5,Prunella,Roofed,0.09375,NA,0.4099,0.038428125
12,2,196,98,1,Prunella,Control,0.09375,NA,0.4099,0.038428125
12,2,686,365,2,Onobrychis,Control,0.078125,NA,0.4623,0.036117188
12,2,639,337,3,Onobrychis,Roofed,0.0703125,0.44999366,0.44999366,0.031640179
9,2,9,3,3,Prunella,Drought,0.4375,0.071808534,0.071808534,0.031416234
12,2,687,366,2,Onobrychis,Roofed,0.171875,0.181457864,0.181457864,0.03118807
12,2,892,456,3,Lathyrus,Drought,0.09375,0.281909334,0.281909334,0.026429
11,2,682,362,3,Onobrychis,Control,0.0546875,0.477529547,0.477529547,0.026114897
11,2,683,362,3,Onobrychis,Control,0.0546875,0.477529547,0.477529547,0.026114897
9,2,181,92,5,Prunella,Control,0.0625,NA,0.4099,0.02561875
9,2,182,92,5,Prunella,Control,0.0625,NA,0.4099,0.02561875
12,2,893,456,3,Lathyrus,Drought,0.28125,0.087706715,0.087706715,0.024667513
12,2,685,365,2,Onobrychis,Control,0.046875,NA,0.4623,0.021670313
